ds,y
2025-01-01,110.79495086801639
2025-01-02,100.05469565661468
2025-01-03,117.73255632097874
2025-01-04,137.1974217649798
2025-01-05,104.01077683801
2025-01-06,105.96685122789363
2025-01-07,144.18806514852207
2025-01-08,129.90494088102912
2025-01-09,107.1171621057238
2025-01-10,129.30596797090308
2025-01-11,111.13199262492395
2025-01-12,113.02854200993791
2025-01-13,129.12213426834214
2025-01-14,87.95374769285584
2025-01-15,93.65392349016409
2025-01-16,118.83567377540231
2025-01-17,111.74991681975953
2025-01-18,140.21232656603863
2025-01-19,117.68322135441379
2025-01-20,109.5091918321207
2025-01-21,168.97480346527163
2025-01-22,137.04762421172603
2025-01-23,144.80955858176299
2025-01-24,116.85416101075481
2025-01-25,136.34565201373857
2025-01-26,151.32975889424637
2025-01-27,127.96302411000306
2025-01-28,160.36180358238565
2025-01-29,142.6931489766441
2025-01-30,150.7230343802652
2025-01-31,146.36644791505023
2025-02-01,197.28227812439036
2025-02-02,161.79514924699146
2025-02-03,142.73128334299923
2025-02-04,182.14862341925704
2025-02-05,143.08467913480806
2025-02-06,173.47404580857284
2025-02-07,131.88978168750145
2025-02-08,146.2968582023165
2025-02-09,178.5659826190342
2025-02-10,191.15685360770127
2025-02-11,181.56404159085838
2025-02-12,177.56306144772864
2025-02-13,175.58331170214484
2025-02-14,153.75412489688216
2025-02-15,170.63649639674404
2025-02-16,177.51887704505043
2025-02-17,209.56164732092924
2025-02-18,196.96822292344976
2025-02-19,156.50064116282732
2025-02-20,199.89747567714772
2025-02-21,187.35710298916854
2025-02-22,183.15169997457684
2025-02-23,210.54333842730944
2025-02-24,220.5376027409464
2025-02-25,220.13899048700512
2025-02-26,186.31264239229915
2025-02-27,198.48403540206226
2025-02-28,212.8523869407114
2025-03-01,227.28426529140216
2025-03-02,199.72339891363998
2025-03-03,207.11437275690284
2025-03-04,190.20854414891573
2025-03-05,189.90570407213323
2025-03-06,231.56173026016646
2025-03-07,243.90406264011972
2025-03-08,216.79366950513253
2025-03-09,239.74559597004583
2025-03-10,228.33507940518726
2025-03-11,209.6136421732196
2025-03-12,231.14379193034
2025-03-13,256.0625287226545
2025-03-14,225.95718415343777
2025-03-15,259.32439466565563
2025-03-16,176.9802684305015
2025-03-17,247.14262938782966
2025-03-18,233.76062097382228
2025-03-19,227.34026036468833
2025-03-20,236.44191832027863
2025-03-21,196.12713203474942
2025-03-22,232.74234099294227
2025-03-23,245.52071256092324
2025-03-24,269.16439575908805
2025-03-25,230.45449731421485
2025-03-26,225.84871559452614
2025-03-27,233.16740234226162
2025-03-28,262.6797855149438
2025-03-29,252.10118885536752
2025-03-30,236.07059318994013
2025-03-31,258.0559715634595
2025-04-01,250.84218687486924
2025-04-02,269.3687327433947
2025-04-03,237.03515325572195
2025-04-04,245.58854504509856
2025-04-05,245.35039827732976
2025-04-06,224.95825052067056
2025-04-07,261.1721765908319
2025-04-08,261.47735450037504
2025-04-09,257.35028002482966
2025-04-10,253.5333456353229
2025-04-11,230.88010254729315
2025-04-12,251.72243213270292
2025-04-13,254.21430633965127
2025-04-14,245.9417953339992
2025-04-15,259.6659098838472
2025-04-16,271.8625216721094
2025-04-17,302.3807619359345
2025-04-18,269.0098646884192
2025-04-19,271.51637632729626
2025-04-20,265.70938046550503
2025-04-21,229.6417537426611
2025-04-22,268.29181178380924
2025-04-23,270.81772382764257
2025-04-24,319.65520253518457
2025-04-25,267.3066872820725
2025-04-26,277.9348047250094
2025-04-27,271.94608219465687
2025-04-28,249.9898323557834
2025-04-29,296.92965209210473
2025-04-30,289.808501621643
2025-05-01,291.2740867444589
2025-05-02,257.9363902736338
2025-05-03,304.8379287721474
2025-05-04,249.39026677664276
2025-05-05,289.79715211067355
2025-05-06,322.4894598150324
2025-05-07,259.4777145312205
2025-05-08,268.55848228443136
2025-05-09,282.4615111502243
2025-05-10,270.9712214298536
2025-05-11,250.58807630417226
2025-05-12,283.52173409169166
2025-05-13,261.44221215702345
2025-05-14,292.6867953089796
2025-05-15,265.34214027239557
2025-05-16,315.23418213579725
2025-05-17,269.0646641091836
2025-05-18,278.77228156968596
2025-05-19,301.95736646959585
2025-05-20,261.53315962925035
2025-05-21,291.15317039869075
2025-05-22,313.1906456925317
2025-05-23,255.33243208252324
2025-05-24,291.5997643116697
2025-05-25,293.5206172879728
2025-05-26,304.36637939082925
